Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/10  05:00:00;20.0;23.704605566528766;0.0;0.0 
 01/10  06:00:00;19.125;23.071642434662294;0.0;0.0 
 01/10  07:00:00;18.208333333333332;25.971914675770474;72703.794050328;0.0 
 01/10  08:00:00;17.416666666666668;26.385319848242137;121914.98385670604;0.0 
 01/10  09:00:00;19.391666666666666;26.506585059683214;257428.42769043383;0.0 
 01/10  10:00:00;23.375;26.76316439621107;676449.2926221513;0.0 
 01/10  11:00:00;26.166666666666668;26.667277120996776;556734.0636749727;0.0 
 01/10  12:00:00;28.34166666666667;26.246875574401184;56839.645488940005;0.0 
 01/10  13:00:00;30.233333333333334;26.09428935723457;0.0;0.0 
 01/10  14:00:00;31.775000000000002;26.879505085884897;690577.7826326257;0.0 
 01/10  15:00:00;33.333333333333336;26.85638932308268;879268.736117046;0.0 
 01/10  16:00:00;34.0;26.44137504712073;306257.2568160343;0.0 
 01/10  17:00:00;33.416666666666664;25.99619618680424;10238.788550748359;0.0 
 01/10  18:00:00;32.18333333333334;25.232418961735224;0.0;0.0 
 01/10  19:00:00;30.083333333333332;24.48543022464881;0.0;0.0 
 01/10  20:00:00;27.775000000000002;24.12443985230966;0.0;0.0 
 01/10  21:00:00;25.616666666666664;23.74987554277625;0.0;0.0 
 01/10  22:00:00;24.875;23.047380832628075;0.0;0.0 
 01/10  23:00:00;25.0;24.130984738862065;0.0;0.0 
 01/10  24:00:00;24.416666666666668;23.904684497792534;0.0;0.0 
 01/11  01:00:00;23.59166666666667;23.603389625007196;0.0;0.0 
 01/11  02:00:00;22.833333333333332;23.14648328736323;0.0;0.0 
 01/11  03:00:00;22.09166666666667;22.660072272594448;0.0;0.0 
 01/11  04:00:00;21.566666666666666;22.268403502039334;0.0;0.0 
 01/11  05:00:00;21.166666666666668;21.944240651534376;0.0;0.0 
 01/11  06:00:00;20.475000000000005;21.477425775473222;0.0;0.0 
 01/11  07:00:00;19.458333333333332;21.796889559573515;0.0;0.0 
 01/11  08:00:00;18.416666666666668;21.767311160287992;0.0;0.0 
 01/11  09:00:00;19.108333333333334;21.92519342390355;0.0;0.0 
 01/11  10:00:00;22.291666666666668;22.570432805166718;0.0;0.0 
 01/11  11:00:00;26.333333333333332;23.710886353609155;0.0;0.0 
 01/11  12:00:00;28.583333333333332;24.84685762316707;0.0;0.0 
 01/11  13:00:00;29.583333333333332;25.838970112116854;388032.2071924639;0.0 
 01/11  14:00:00;30.583333333333332;26.338316574992803;1420914.5321967038;0.0 
 01/11  15:00:00;31.583333333333332;26.75968833103335;2378497.720751694;0.0 
 01/11  16:00:00;31.416666666666668;27.068589873731813;3041795.642842541;0.0 
 01/11  17:00:00;31.0;27.207809718769074;3256598.00049861;0.0 
 01/11  18:00:00;30.53333333333333;27.167642262870107;3033839.603531133;0.0 
 01/11  19:00:00;28.916666666666668;27.014437121954177;2552262.0360106626;0.0 
 01/11  20:00:00;26.833333333333332;26.863094618206123;2057151.3725700488;0.0 
 01/11  21:00:00;24.833333333333332;26.73558003002536;1633228.0525401335;0.0 
 01/11  22:00:00;23.416666666666668;26.627519767610064;1270864.982716243;0.0 
 01/11  23:00:00;22.416666666666668;24.773080138089984;0.0;0.0 
 01/11  24:00:00;22.0;24.36166955854129;0.0;0.0 
 01/12  01:00:00;21.708333333333332;24.07097865202621;0.0;0.0 
 01/12  02:00:00;21.266666666666666;23.703672846110795;0.0;0.0 
 01/12  03:00:00;20.808333333333337;23.328189212167278;0.0;0.0 
